Date,Price,Type
2011-07-21,2473.5,Historical
2011-07-22,2547.75,Historical
2011-07-25,2572.5,Historical
2011-07-26,2612.5,Historical
2011-07-27,2622.25,Historical
2011-07-28,2600.5,Historical
2011-07-29,2581.0,Historical
2011-08-01,2605.25,Historical
2011-08-02,2540.5,Historical
2011-08-03,2529.5,Historical
2011-08-04,2472.5,Historical
2011-08-05,2427.5,Historical
2011-08-08,2404.75,Historical
2011-08-09,2390.25,Historical
2011-08-10,2408.5,Historical
2011-08-11,2367.25,Historical
2011-08-12,2378.5,Historical
2011-08-15,2345.25,Historical
2011-08-16,2338.25,Historical
2011-08-17,2347.0,Historical
2011-08-18,2371.0,Historical
2011-08-19,2308.5,Historical
2011-08-22,2324.75,Historical
2011-08-23,2321.75,Historical
2011-08-24,2321.75,Historical
2011-08-25,2333.5,Historical
2011-08-26,2328.75,Historical
2011-08-29,2360.5,Historical
2011-08-30,2360.5,Historical
2011-08-31,2402.25,Historical
2011-09-01,2401.0,Historical
2011-09-02,2399.5,Historical
2011-09-05,2363.25,Historical
2011-09-06,2345.75,Historical
2011-09-07,2355.0,Historical
2011-09-08,2365.5,Historical
2011-09-09,2342.5,Historical
2011-09-12,2318.75,Historical
2011-09-13,2354.25,Historical
2011-09-14,2329.25,Historical
2011-09-15,2338.5,Historical
2011-09-16,2345.5,Historical
2011-09-19,2309.5,Historical
2011-09-20,2303.75,Historical
2011-09-21,2266.25,Historical
2011-09-22,2224.75,Historical
2011-09-23,2169.75,Historical
2011-09-26,2195.25,Historical
2011-09-27,2193.5,Historical
2011-09-28,2205.25,Historical
2011-09-29,2185.5,Historical
2011-09-30,2206.5,Historical
2011-10-03,2120.0,Historical
2011-10-04,2132.5,Historical
2011-10-05,2131.75,Historical
2011-10-06,2169.75,Historical
2011-10-07,2176.25,Historical
2011-10-10,2185.5,Historical
2011-10-11,2184.5,Historical
2011-10-12,2202.25,Historical
2011-10-13,2177.75,Historical
2011-10-14,2170.5,Historical
2011-10-17,2209.0,Historical
2011-10-18,2157.25,Historical
2011-10-19,2171.25,Historical
2011-10-20,2121.25,Historical
2011-10-21,2109.75,Historical
2011-10-24,2158.25,Historical
2011-10-25,2194.5,Historical
2011-10-26,2195.25,Historical
2011-10-27,2233.75,Historical
2011-10-28,2221.25,Historical
2011-10-31,2186.5,Historical
2011-11-01,2091.5,Historical
2011-11-02,2103.25,Historical
2011-11-03,2123.25,Historical
2011-11-04,2130.0,Historical
2011-11-07,2117.5,Historical
2011-11-08,2092.5,Historical
2011-11-09,2108.5,Historical
2011-11-10,2111.75,Historical
2011-11-11,2115.25,Historical
2011-11-14,2143.5,Historical
2011-11-15,2117.25,Historical
2011-11-16,2097.25,Historical
2011-11-17,2084.0,Historical
2011-11-18,2085.25,Historical
2011-11-21,2074.75,Historical
2011-11-22,2058.75,Historical
2011-11-23,2058.75,Historical
2011-11-24,2002.25,Historical
2011-11-25,1987.0,Historical
2011-11-28,2006.25,Historical
2011-11-29,1990.5,Historical
2011-11-30,1976.75,Historical
2011-12-01,2103.25,Historical
2011-12-02,2139.5,Historical
2011-12-05,2105.25,Historical
2011-12-06,2103.25,Historical
2011-12-07,2101.75,Historical
2011-12-08,2059.25,Historical
2011-12-09,2066.25,Historical
2011-12-12,2026.25,Historical
2011-12-13,2020.5,Historical
2011-12-14,1975.75,Historical
2011-12-15,1982.25,Historical
2011-12-16,2003.25,Historical
2011-12-19,1955.25,Historical
2011-12-20,1970.5,Historical
2011-12-21,1944.75,Historical
2011-12-22,1965.25,Historical
2011-12-23,1991.25,Historical
2011-12-26,1970.25,Historical
2011-12-27,1970.25,Historical
2011-12-28,1970.25,Historical
2011-12-29,1975.5,Historical
2011-12-30,1970.25,Historical
2012-01-02,2005.75,Historical
2012-01-03,2005.75,Historical
2012-01-04,2051.5,Historical
2012-01-05,2003.25,Historical
2012-01-06,2019.5,Historical
2012-01-09,2061.25,Historical
2012-01-10,2137.5,Historical
2012-01-11,2134.25,Historical
2012-01-12,2157.25,Historical
2012-01-13,2109.75,Historical
2012-01-16,2120.5,Historical
2012-01-17,2171.25,Historical
2012-01-18,2174.5,Historical
2012-01-19,2180.75,Historical
2012-01-20,2183.5,Historical
2012-01-23,2193.25,Historical
2012-01-24,2190.25,Historical
2012-01-25,2185.75,Historical
2012-01-26,2231.75,Historical
2012-01-27,2241.25,Historical
2012-01-30,2210.25,Historical
2012-01-31,2257.25,Historical
2012-02-01,2219.25,Historical
2012-02-02,2200.5,Historical
2012-02-03,2158.5,Historical
2012-02-06,2175.25,Historical
2012-02-07,2172.5,Historical
2012-02-08,2236.25,Historical
2012-02-09,2232.25,Historical
2012-02-10,2218.25,Historical
2012-02-13,2207.25,Historical
2012-02-14,2163.0,Historical
2012-02-15,2173.5,Historical
2012-02-16,2116.75,Historical
2012-02-17,2127.25,Historical
2012-02-20,2130.0,Historical
2012-02-21,2175.25,Historical
2012-02-22,2211.5,Historical
2012-02-23,2228.75,Historical
2012-02-24,2252.75,Historical
2012-02-27,2266.75,Historical
2012-02-28,2307.75,Historical
2012-02-29,2301.25,Historical
2012-03-01,2288.5,Historical
2012-03-02,2295.25,Historical
2012-03-05,2253.25,Historical
2012-03-06,2202.25,Historical
2012-03-07,2172.5,Historical
2012-03-08,2174.75,Historical
2012-03-09,2169.75,Historical
2012-03-12,2166.25,Historical
2012-03-13,2187.25,Historical
2012-03-14,2196.25,Historical
2012-03-15,2195.25,Historical
2012-03-16,2222.0,Historical
2012-03-19,2218.75,Historical
2012-03-20,2218.75,Historical
2012-03-21,2192.25,Historical
2012-03-22,2139.25,Historical
2012-03-23,2130.75,Historical
2012-03-26,2136.75,Historical
2012-03-27,2132.75,Historical
2012-03-28,2137.75,Historical
2012-03-29,2107.0,Historical
2012-03-30,2098.25,Historical
2012-04-02,2081.25,Historical
2012-04-03,2090.5,Historical
2012-04-04,2059.25,Historical
2012-04-05,2053.5,Historical
2012-04-06,2050.25,Historical
2012-04-09,2050.25,Historical
2012-04-10,2050.25,Historical
2012-04-11,2035.75,Historical
2012-04-12,2069.5,Historical
2012-04-13,2045.75,Historical
2012-04-16,2026.5,Historical
2012-04-17,2040.25,Historical
2012-04-18,2028.25,Historical
2012-04-19,2016.25,Historical
2012-04-20,2034.25,Historical
2012-04-23,2034.25,Historical
2012-04-24,2029.5,Historical
2012-04-25,2039.75,Historical
2012-04-26,2040.25,Historical
2012-04-27,2068.0,Historical
2012-04-30,2057.5,Historical
2012-05-01,2066.5,Historical
2012-05-02,2064.25,Historical
2012-05-03,2047.25,Historical
2012-05-04,2047.75,Historical
2012-05-07,2025.75,Historical
2012-05-08,2025.75,Historical
2012-05-09,1986.75,Historical
2012-05-10,2003.25,Historical
2012-05-11,1991.75,Historical
2012-05-14,1981.5,Historical
2012-05-15,1979.0,Historical
2012-05-16,1994.25,Historical
2012-05-17,1986.75,Historical
2012-05-18,2016.25,Historical
2012-05-21,2003.75,Historical
2012-05-22,1996.25,Historical
2012-05-23,1974.75,Historical
2012-05-24,1968.5,Historical
2012-05-25,1979.25,Historical
2012-05-28,1980.25,Historical
2012-05-29,1979.25,Historical
2012-05-30,1957.25,Historical
2012-05-31,1973.25,Historical
2012-06-01,1936.5,Historical
2012-06-04,1944.75,Historical
2012-06-05,1944.75,Historical
2012-06-06,1944.75,Historical
2012-06-07,1946.75,Historical
2012-06-08,1938.25,Historical
2012-06-11,1943.25,Historical
2012-06-12,1925.75,Historical
2012-06-13,1923.75,Historical
2012-06-14,1924.25,Historical
2012-06-15,1914.25,Historical
2012-06-18,1881.75,Historical
2012-06-19,1878.25,Historical
2012-06-20,1879.25,Historical
2012-06-21,1841.75,Historical
2012-06-22,1823.25,Historical
2012-06-25,1816.75,Historical
2012-06-26,1810.25,Historical
2012-06-27,1810.25,Historical
2012-06-28,1832.25,Historical
2012-06-29,1834.25,Historical
2012-07-02,1866.75,Historical
2012-07-03,1910.5,Historical
2012-07-04,1929.75,Historical
2012-07-05,1914.25,Historical
2012-07-06,1887.5,Historical
2012-07-09,1876.25,Historical
2012-07-10,1889.5,Historical
2012-07-11,1872.25,Historical
2012-07-12,1835.25,Historical
2012-07-13,1861.25,Historical
2012-07-16,1861.25,Historical
2012-07-17,1888.25,Historical
2012-07-18,1868.25,Historical
2012-07-19,1908.75,Historical
2012-07-20,1894.25,Historical
2012-07-23,1835.25,Historical
2012-07-24,1839.75,Historical
2012-07-25,1846.5,Historical
2012-07-26,1865.25,Historical
2012-07-27,1859.75,Historical
2012-07-30,1851.25,Historical
2012-07-31,1862.25,Historical
2012-08-01,1843.75,Historical
2012-08-02,1820.75,Historical
2012-08-03,1806.25,Historical
2012-08-06,1828.75,Historical
2012-08-07,1863.0,Historical
2012-08-08,1872.5,Historical
2012-08-09,1865.75,Historical
2012-08-10,1834.5,Historical
2012-08-13,1823.75,Historical
2012-08-14,1812.75,Historical
2012-08-15,1803.25,Historical
2012-08-16,1793.25,Historical
2012-08-17,1810.25,Historical
2012-08-20,1798.5,Historical
2012-08-21,1820.75,Historical
2012-08-22,1828.5,Historical
2012-08-23,1861.25,Historical
2012-08-24,1871.0,Historical
2012-08-27,1882.5,Historical
2012-08-28,1882.5,Historical
2012-08-29,1872.5,Historical
2012-08-30,1867.5,Historical
2012-08-31,1848.75,Historical
2012-09-03,1879.5,Historical
2012-09-04,1927.25,Historical
2012-09-05,1927.75,Historical
2012-09-06,1962.5,Historical
2012-09-07,1987.75,Historical
2012-09-10,2031.75,Historical
2012-09-11,2057.0,Historical
2012-09-12,2074.25,Historical
2012-09-13,2081.75,Historical
2012-09-14,2176.75,Historical
2012-09-17,2161.75,Historical
2012-09-18,2152.5,Historical
2012-09-19,2123.5,Historical
2012-09-20,2095.5,Historical
2012-09-21,2093.25,Historical
2012-09-24,2058.5,Historical
2012-09-25,2068.5,Historical
2012-09-26,2048.5,Historical
2012-09-27,2067.75,Historical
2012-09-28,2093.75,Historical
2012-10-01,2068.25,Historical
2012-10-02,2103.75,Historical
2012-10-03,2103.75,Historical
2012-10-04,2087.5,Historical
2012-10-05,2087.5,Historical
2012-10-08,2046.25,Historical
2012-10-09,2040.25,Historical
2012-10-10,1991.5,Historical
2012-10-11,1992.25,Historical
2012-10-12,1975.0,Historical
2012-10-15,1949.75,Historical
2012-10-16,1930.5,Historical
2012-10-17,1932.25,Historical
2012-10-18,1971.25,Historical
2012-10-19,1976.25,Historical
2012-10-22,1932.25,Historical
2012-10-23,1913.25,Historical
2012-10-24,1906.75,Historical
2012-10-25,1909.25,Historical
2012-10-26,1899.25,Historical
2012-10-29,1873.25,Historical
2012-10-30,1884.25,Historical
2012-10-31,1882.25,Historical
2012-11-01,1908.25,Historical
2012-11-02,1936.75,Historical
2012-11-05,1883.75,Historical
2012-11-06,1886.75,Historical
2012-11-07,1900.5,Historical
2012-11-08,1897.25,Historical
2012-11-09,1888.75,Historical
2012-11-12,1929.0,Historical
2012-11-13,1943.75,Historical
2012-11-14,1965.5,Historical
2012-11-15,1931.75,Historical
2012-11-16,1921.25,Historical
2012-11-19,1927.75,Historical
2012-11-20,1952.25,Historical
2012-11-21,1927.75,Historical
2012-11-22,1927.75,Historical
2012-11-23,1915.25,Historical
2012-11-26,1976.25,Historical
2012-11-27,2002.75,Historical
2012-11-28,1992.25,Historical
2012-11-29,2045.5,Historical
2012-11-30,2078.5,Historical
2012-12-03,2096.25,Historical
2012-12-04,2100.25,Historical
2012-12-05,2094.5,Historical
2012-12-06,2109.25,Historical
2012-12-07,2077.75,Historical
2012-12-10,2101.25,Historical
2012-12-11,2130.5,Historical
2012-12-12,2134.5,Historical
2012-12-13,2121.25,Historical
2012-12-14,2132.25,Historical
