Date,P5,P50,P95
2024-09-18,724.7875657778152,925.0727757265865,1123.2503109983397
2024-09-19,724.0221339760247,923.8534924948642,1126.7104649356256
2024-09-20,726.0581713398349,924.8304746399454,1126.0131851728104
2024-09-23,728.6798267669013,929.1227903510071,1121.2880494371902
2024-09-24,726.0572039909109,924.974045211586,1125.2541081462466
2024-09-25,723.9129985535009,925.8358423073444,1125.448032644786
2024-09-26,724.1102031615304,925.4787877006654,1126.2956270456964
2024-09-27,724.4356420474984,927.0912514833656,1130.353518887547
2024-09-30,723.9087140686644,928.310529477094,1127.1927579469677
2024-10-01,725.1280157794099,924.7949938243518,1131.38243312136
2024-10-02,717.9943057651406,924.861085921227,1129.9567776989384
2024-10-03,715.8903361673642,924.3052740678276,1135.6773007161792
2024-10-04,717.0771332355437,923.3076099116512,1135.029935950385
2024-10-07,715.4024357072361,922.8829864435771,1138.8584022103455
2024-10-08,714.5581857744352,923.6298713602303,1146.06144355063
2024-10-09,713.4701874640074,921.5327732949952,1146.9998452616742
2024-10-10,712.7365051207463,918.5501676902732,1147.8374923333054
2024-10-11,709.07952323846,920.3654738072594,1144.6754504774428
2024-10-14,712.9051065293589,921.0800513813869,1145.6926573544833
2024-10-15,709.6425875217516,923.5141725478733,1144.8246597714592
2024-10-16,711.8659445682011,922.1801935793756,1142.2635362836859
2024-10-17,705.7499829487297,922.2647494107083,1143.7203179642404
2024-10-18,704.1848404450742,923.6775129992159,1141.6130829670417
2024-10-21,708.1933704176996,921.5518035648452,1139.7913100150095
2024-10-22,704.1046998333226,920.4701524487973,1139.0549136688112
2024-10-23,699.913074364697,920.8811718619049,1144.949757796095
2024-10-24,697.8738367539005,921.1692617845661,1143.980851667738
2024-10-25,696.6639032749384,920.9385699533378,1146.1839636944628
2024-10-28,698.0708338207917,919.3968838703902,1147.9993883261052
2024-10-29,694.8197837962423,918.39123846367,1143.379526576503
2024-10-30,698.3255836753657,918.2094083326622,1144.1936393385206
2024-10-31,698.2174091855466,920.4462671667976,1152.1169108603326
2024-11-01,699.5421853571253,919.4081803428879,1149.14040085158
2024-11-04,696.3853256369833,920.062227761646,1151.5249571264446
2024-11-05,701.0040333680602,915.5634534981313,1152.806620541838
2024-11-06,699.881819596548,918.8333984947869,1150.9403799794864
2024-11-07,696.0728358240611,916.6241396589005,1146.0789876425206
2024-11-08,690.5816451982524,915.5888804951067,1149.122337684122
2024-11-11,691.7366631513836,918.3817925833816,1156.696193654459
2024-11-12,695.023128805941,917.6225555464141,1157.4179371798298
2024-11-13,688.0650882220734,916.3781453281463,1156.8079740750811
2024-11-14,688.1082012701129,917.6921556783461,1156.461449429609
2024-11-15,686.6625814378318,918.5995992882594,1150.8366091877645
2024-11-18,692.7081063937261,916.9011981611908,1153.1335757140846
2024-11-19,690.5013825546868,920.309538973725,1148.461389208786
2024-11-20,689.8204727911505,920.0359580423818,1151.9880078934202
2024-11-21,687.3767344173558,923.1691172688151,1154.454666637988
2024-11-22,691.1873332598659,920.3609155255871,1155.8840622532175
2024-11-25,686.6536487762658,921.8220611333527,1157.9560853137905
